source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVision (index.js:19352:20)
    at async callVisionModel (index.js:19340:12)
    at async Promise.allSettled (index 0)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)",cloudflare-workers,2026-04-05T10:37:23.866Z,false,https://ossapi.wort.uk/api/ai/tags/REDACTED,POST,/api/ai/tags/REDACTED,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77eab90f94a134,01KNEKFZGTECQC8EFXGZ3R3X55,9e77eab90f94a134,POST /api/ai/tags/REDACTED,ossshelf-api,error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVision (index.js:19352:20)
    at async callVisionModel (index.js:19340:12)
    at async Promise.allSettled (index 0)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)","AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVision (index.js:19352:20)
    at async callVisionModel (index.js:19340:12)
    at async Promise.allSettled (index 0)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)",2f24288827c6b14fac807324df3a4ac2,cf-worker,9636f2f089e722771e4c13636a43a0ee,fetch,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async <DOMAIN> (cloudflare-internal:ai-api:196:19)
    at async <*> (<DOMAIN>:19352:20)
    at async <*> (<DOMAIN>:19340:12)
    at async <DOMAIN> (index <*>)
    at async generateImageTags (<DOMAIN>:19515:40)
    at async <DOMAIN>:30243:20
    at async dispatch (<DOMAIN>:7755:17)
    at async handleJwtAuth (<DOMAIN>:10203:5)
    at async authMiddleware (<DOMAIN>:10165:12)",undefined,undefined,undefined
error,"[2026-04-05T10:37:23.866Z] [ERROR] [AI] Vision model call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",cloudflare-workers,2026-04-05T10:37:23.866Z,false,https://ossapi.wort.uk/api/ai/tags/REDACTED,POST,/api/ai/tags/REDACTED,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77eab90f94a134,01KNEKFZGTECQC8EFXGZ3R3X54,9e77eab90f94a134,POST /api/ai/tags/REDACTED,ossshelf-api,error,"[2026-04-05T10:37:23.866Z] [ERROR] [AI] Vision model call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'","[2026-04-05T10:37:23.866Z] [ERROR] [AI] Vision model call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",2f24288827c6b14fac807324df3a4ac2,cf-worker,53027eb85e0f47745df4c387feac0db8,fetch,"[<DATETIME>] [ERROR] [AI] Vision model call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",undefined,undefined,undefined
error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVisionForTags (index.js:19421:20)
    at async callVisionModelForTags (index.js:19409:12)
    at async Promise.allSettled (index 1)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)",cloudflare-workers,2026-04-05T10:37:23.010Z,false,https://ossapi.wort.uk/api/ai/tags/REDACTED,POST,/api/ai/tags/REDACTED,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77eab90f94a134,01KNEKFYP2YHTFA0AHN07KE12T,9e77eab90f94a134,POST /api/ai/tags/REDACTED,ossshelf-api,error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVisionForTags (index.js:19421:20)
    at async callVisionModelForTags (index.js:19409:12)
    at async Promise.allSettled (index 1)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)","AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVisionForTags (index.js:19421:20)
    at async callVisionModelForTags (index.js:19409:12)
    at async Promise.allSettled (index 1)
    at async generateImageTags (index.js:19515:40)
    at async index.js:30243:20
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)",2f24288827c6b14fac807324df3a4ac2,cf-worker,c8b5cf0c60a072d6a4f0b86365c40d9f,fetch,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async <DOMAIN> (cloudflare-internal:ai-api:196:19)
    at async callWorkersAiVisionForTags (<DOMAIN>:19421:20)
    at async callVisionModelForTags (<DOMAIN>:19409:12)
    at async <DOMAIN> (index 1)
    at async generateImageTags (<DOMAIN>:19515:40)
    at async <DOMAIN>:30243:20
    at async dispatch (<DOMAIN>:7755:17)
    at async handleJwtAuth (<DOMAIN>:10203:5)
    at async authMiddleware (<DOMAIN>:10165:12)",undefined,undefined,undefined
error,"[2026-04-05T10:37:23.010Z] [ERROR] [AI] Vision model for tags call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",cloudflare-workers,2026-04-05T10:37:23.010Z,false,https://ossapi.wort.uk/api/ai/tags/REDACTED,POST,/api/ai/tags/REDACTED,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77eab90f94a134,01KNEKFYP2YHTFA0AHN07KE12S,9e77eab90f94a134,POST /api/ai/tags/REDACTED,ossshelf-api,error,"[2026-04-05T10:37:23.010Z] [ERROR] [AI] Vision model for tags call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'","[2026-04-05T10:37:23.010Z] [ERROR] [AI] Vision model for tags call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",2f24288827c6b14fac807324df3a4ac2,cf-worker,8e68adbfb7882bf3390217e30624b7a3,fetch,"[<DATETIME>] [ERROR] [AI] Vision model for tags call failed {""modelId"":""@cf/llava-hf/llava-1.5-7b-hf""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",undefined,undefined,undefined
error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",cloudflare-workers,2026-04-05T10:35:57.678Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e8affea8a134,01KNEKDBBEE98C94FETJ7R5X1Q,9e77e8affea8a134,POST /api/ai-config/test,ossshelf-api,error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)","AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",2f24288827c6b14fac807324df3a4ac2,cf-worker,bb84429a0fb9379d527ec2c090675085,fetch,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async <DOMAIN> (cloudflare-internal:ai-api:196:19)
    at async <DOMAIN> (<DOMAIN>:17751:24)
    at async <DOMAIN>:32969:22
    at async dispatch (<DOMAIN>:7755:17)
    at async handleJwtAuth (<DOMAIN>:10203:5)
    at async authMiddleware (<DOMAIN>:10165:12)
    at async dispatch (<DOMAIN>:7755:17)
    at async errorHandler (<DOMAIN>:14620:5)
    at async dispatch (<DOMAIN>:7755:17)",undefined,undefined,undefined
error,"[2026-04-05T10:35:57.678Z] [ERROR] [AI Config] Model test failed {""userId"":""ca589195-75a9-456f-830f-ad7efe52a848"",""modelId"":""7f306bad-110a-4fef-a009-0e83059a125e""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",cloudflare-workers,2026-04-05T10:35:57.678Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e8affea8a134,01KNEKDBBEE98C94FETJ7R5X1P,9e77e8affea8a134,POST /api/ai-config/test,ossshelf-api,error,"[2026-04-05T10:35:57.678Z] [ERROR] [AI Config] Model test failed {""userId"":""ca589195-75a9-456f-830f-ad7efe52a848"",""modelId"":""7f306bad-110a-4fef-a009-0e83059a125e""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'","[2026-04-05T10:35:57.678Z] [ERROR] [AI Config] Model test failed {""userId"":""ca589195-75a9-456f-830f-ad7efe52a848"",""modelId"":""7f306bad-110a-4fef-a009-0e83059a125e""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",2f24288827c6b14fac807324df3a4ac2,cf-worker,a267ae503b87616cced7a64c52ea5a85,fetch,"[<DATETIME>] [ERROR] [AI Config] Model test failed {""userId"":""<UUID>"",""modelId"":""<UUID>""} Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",undefined,undefined,undefined
error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",cloudflare-workers,2026-04-05T10:35:57.678Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e8affea8a134,01KNEKDBBEE98C94FETJ7R5X1N,9e77e8affea8a134,POST /api/ai-config/test,ossshelf-api,error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)","AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",2f24288827c6b14fac807324df3a4ac2,cf-worker,bb84429a0fb9379d527ec2c090675085,fetch,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async <DOMAIN> (cloudflare-internal:ai-api:196:19)
    at async <DOMAIN> (<DOMAIN>:17751:24)
    at async <DOMAIN>:32969:22
    at async dispatch (<DOMAIN>:7755:17)
    at async handleJwtAuth (<DOMAIN>:10203:5)
    at async authMiddleware (<DOMAIN>:10165:12)
    at async dispatch (<DOMAIN>:7755:17)
    at async errorHandler (<DOMAIN>:14620:5)
    at async dispatch (<DOMAIN>:7755:17)",undefined,undefined,undefined
error,"[2026-04-05T10:35:57.678Z] [ERROR] [AI] Workers AI chat completion failed Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",cloudflare-workers,2026-04-05T10:35:57.678Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e8affea8a134,01KNEKDBBEE98C94FETJ7R5X1M,9e77e8affea8a134,POST /api/ai-config/test,ossshelf-api,error,"[2026-04-05T10:35:57.678Z] [ERROR] [AI] Workers AI chat completion failed Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'","[2026-04-05T10:35:57.678Z] [ERROR] [AI] Workers AI chat completion failed Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",2f24288827c6b14fac807324df3a4ac2,cf-worker,c4d81f2993ac32059c8315e1c724df9d,fetch,"[<DATETIME>] [ERROR] [AI] Workers AI chat completion failed Error: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'",undefined,undefined,undefined
error,POST https://ossapi.wort.uk/api/ai-config/test,cloudflare-workers,2026-04-05T10:35:56.951Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e8affea8a134,01KNEKDAMQ8MC4CSMV1FVH5PZD,9e77e8affea8a134,POST /api/ai-config/test,ossshelf-api,error,POST https://ossapi.wort.uk/api/ai-config/test,POST https://ossapi.wort.uk/api/ai-config/test,2f24288827c6b14fac807324df3a4ac2,cf-worker-event,d690836d85660fd7755c04bd9c1e4420,fetch,POST https://ossapi.wort.uk/api/ai-config/test,undefined,undefined,undefined
error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",cloudflare-workers,2026-04-05T10:35:44.015Z,false,https://ossapi.wort.uk/api/ai-config/test,POST,/api/ai-config/test,ok,ossshelf-api,fetch,stateless,6f35b7a8-9290-4593-b3ae-21a1a0d9386c,9e77e859397aa134,01KNEKCY0FNG043273VWRWXQ1E,9e77e859397aa134,POST /api/ai-config/test,ossshelf-api,error,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)","AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async Ai.run (cloudflare-internal:ai-api:196:19)
    at async WorkersAiAdapter.chatCompletion (index.js:17751:24)
    at async index.js:32969:22
    at async dispatch (index.js:7755:17)
    at async handleJwtAuth (index.js:10203:5)
    at async authMiddleware (index.js:10165:12)
    at async dispatch (index.js:7755:17)
    at async errorHandler (index.js:14620:5)
    at async dispatch (index.js:7755:17)",2f24288827c6b14fac807324df3a4ac2,cf-worker,bb84429a0fb9379d527ec2c090675085,fetch,"AiError: 5006: Error: oneOf at '/' not met, 0 matches: Type mismatch of '/', 'string' not in 'object', required properties at '/' are 'image'
    at Ai._parseError (cloudflare-internal:ai-api:218:24)
    at async <DOMAIN> (cloudflare-internal:ai-api:196:19)
    at async <DOMAIN> (<DOMAIN>:17751:24)
    at async <DOMAIN>:32969:22
    at async dispatch (<DOMAIN>:7755:17)
    at async handleJwtAuth (<DOMAIN>:10203:5)
    at async authMiddleware (<DOMAIN>:10165:12)
    at async dispatch (<DOMAIN>:7755:17)
    at async errorHandler (<DOMAIN>:14620:5)
    at async dispatch (<DOMAIN>:7755:17)",undefined,undefined,undefined
